카드 ID,이름,문양,랭크,희귀도,고유능력,수록 팩 ID,Note,영문명
86,붉은 장미의 장궁병,다이아몬드,2,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
87,붉은 장미의 석궁병,다이아몬드,3,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
88,붉은 장미의 화승총병,다이아몬드,4,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
89,붉은 장미의 도끼병,다이아몬드,5,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
90,붉은 장미의 선봉 기수,다이아몬드,6,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
91,붉은 장미의 야전 지휘관,다이아몬드,7,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
92,붉은 장미의 장창병,다이아몬드,8,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
93,붉은 장미의 중장병,다이아몬드,9,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
94,붉은 장미의 경기병,다이아몬드,10,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
95,붉은 장미의 교섭자,다이아몬드,J,Rare,"붉은 장미의 교섭자 : 이 카드가 필드에 존재할 경우, 필드의 다른 “검은 장미” 카드는 “붉은 장미” 카드로 취급된다. 고유능력은 변경되지 않는다.",,,
96,붉은 장미의 여왕,다이아몬드,Q,Epic,"붉은 장미의 여왕 : 현재 필드의 가장 높은 족보가 다이아몬드/하트 카드만으로 이루어져 있을 경우, 그 족보 점수 배율에 보너스 +4를 부여한다.",,,
97,붉은 장미의 왕자,다이아몬드,K,Rare,"붉은 장미의 왕자 : 다음 드로우 시, 덱에 “붉은 장미의 왕”이 존재한다면, 그 카드와 홀수 랭크의 다이아몬드/하트 카드 1장을 우선 드로우한다.",,,
98,붉은 장미의 ◇Joker,다이아몬드,Joker,Epic,"검은 장미의 스파이 : 이 카드가 필드에 존재할 때, 필드에 Epic 등급 이상의 “붉은 장미” 카드가 존재할 경우 낙인 “정보 수집 - 붉은 장미” 을 획득한다.
낙인 “정보 수집 - 붉은 장미” : (효과 없이 플레이버 텍스트만 존재. 전령 효과 발동을 위해서 존재)",,,
99,검은 장미의 후군장,클럽,Ace,Epic,"검은 장미의 후군장 : 현재 묘지에 존재하는 “검은 장미” 카드 최대 5장을 묘지의 아래에서부터 덱으로 리바이브한다. 그 후, 덱을 셔플한다.",,,
100,검은 장미의 공성병,클럽,2,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
101,검은 장미의 후위 기수,클럽,3,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
102,검은 장미의 병기 총감,클럽,4,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
103,검은 장미의 함선원,클럽,5,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
104,검은 장미의 갑판병,클럽,6,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
105,검은 장미의 함포 사수,클럽,7,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
106,검은 장미의 보급관,클럽,8,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
107,검은 장미의 의무병,클럽,9,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
108,검은 장미의 대장장이,클럽,10,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
109,검은 장미의 사제,클럽,J,Rare,"검은 장미의 사제 : 필드의 “검은 장미” 카드의 수가 “붉은 장미” 카드의 수 보다 많을 경우, 현재 족보의 점수 배율을 +2 한다.",,,
110,검은 장미의 공주,클럽,Q,Rare,"검은 장미의 공주 : 다음 드로우 시, 덱에 “검은 장미의 여왕”이 존재한다면, 그 카드와 짝수 랭크의 스페이드/클럽 카드 2장을 우선 드로우한다.",,,
111,검은 장미의 왕,클럽,K,Legendary,"검은 장미의 왕 : 현재 필드의 “검은 장미” 카드의 수가 “붉은 장미” 카드의 수 보다 많을 경우, 징표 “검은 장미의 승리” 를 획득한다. “붉은 장미의 왕” 카드를 현재 위치에 상관 없이 영면 상태로 만든다.
징표 - 검은 장미의 승리 : 게임 종료시까지 모든 다이아몬드 카드는 스페이드로, 하트 카드는 클럽 카드로 취급한다.",,,
112,검은 장미의 ♧Joker,클럽,Joker,Epic,"붉은 장미의 전령 : 이 카드가 필드에 존재할 때, 낙인 “정보 수집 - 검은 장미”가 존재할 경우, 이를 소모하고 낙인 “정보 회수 - 검은 장미” 를 획득한다.
낙인 “정보 회수 - 검은 장미” : 게임 종료시까지 모든 “검은 장미” 고유능력을 비활성화하고, “붉은 장미단” 고유능력의 추가 점수를 8배로 한다.",,,
