카드 ID,이름,문양,랭크,희귀도,고유능력,수록 팩 ID,Note,영문명
42,Basic ◇Joker,다이아몬드,Joker,Basic,,,기본 지급 카드. 고유능력 없음.,
43,Basic ♧Ace,클럽,Ace,Basic,,,기본 지급 카드. 고유능력 없음.,
44,Basic ♧2,클럽,2,Basic,,,기본 지급 카드. 고유능력 없음.,
45,Basic ♧3,클럽,3,Basic,,,기본 지급 카드. 고유능력 없음.,
46,Basic ♧4,클럽,4,Basic,,,기본 지급 카드. 고유능력 없음.,
47,Basic ♧5,클럽,5,Basic,,,기본 지급 카드. 고유능력 없음.,
48,Basic ♧6,클럽,6,Basic,,,기본 지급 카드. 고유능력 없음.,
49,Basic ♧7,클럽,7,Basic,,,기본 지급 카드. 고유능력 없음.,
50,Basic ♧8,클럽,8,Basic,,,기본 지급 카드. 고유능력 없음.,
51,Basic ♧9,클럽,9,Basic,,,기본 지급 카드. 고유능력 없음.,
52,Basic ♧10,클럽,10,Basic,,,기본 지급 카드. 고유능력 없음.,
53,Basic ♧J,클럽,J,Basic,,,기본 지급 카드. 고유능력 없음.,
54,Basic ♧Q,클럽,Q,Basic,,,기본 지급 카드. 고유능력 없음.,
55,Basic ♧K,클럽,K,Basic,,,기본 지급 카드. 고유능력 없음.,
56,Basic ♧Joker,클럽,Joker,Basic,,,기본 지급 카드. 고유능력 없음.,
57,검은 장미의 선봉장,스페이드,Ace,Legendary,"검은 장미의 선봉장 : 다음 드로우 시, 덱에 남아있는 “검은 장미” 카드 최대 5장을 덱의 위에서부터 우선 드로우한다.
”장미의 선봉장” 효과는 한번에 하나만 발동할 수 있다.",,,
58,검은 장미의 장궁병,스페이드,2,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
59,검은 장미의 선봉 기수,스페이드,3,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
60,검은 장미의 야전 지휘관,스페이드,4,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
61,검은 장미의 석궁병,스페이드,5,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
62,검은 장미의 화승총병,스페이드,6,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
63,검은 장미의 도끼병,스페이드,7,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
64,검은 장미의 장창병,스페이드,8,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
65,검은 장미의 중장병,스페이드,9,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
66,검은 장미의 경기병,스페이드,10,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
67,검은 장미의 교섭자,스페이드,J,Rare,"검은 장미의 교섭자 : 이 카드가 필드에 존재할 경우, 필드의 다른 “붉은 장미” 카드는 “검은 장미” 카드로 취급된다. 고유능력은 변경되지 않는다.",,,
68,검은 장미의 여왕,스페이드,Q,Epic,"검은 장미의 여왕 : 현재 필드의 가장 높은 족보가 스페이드/클럽 카드만으로 이루어져 있을 경우, 그 족보 점수 배율에 +4를 부여한다.",,,
69,검은 장미의 왕자,스페이드,K,Rare,"검은 장미의 왕자 : 다음 드로우 시, 덱에 “검은 장미의 왕”이 존재한다면, 그 카드와 홀수 랭크의 스페이드/클럽 카드 1장을 우선 드로우한다.",,,
70,검은 장미의 ♤Joker,스페이드,Joker,Epic,"붉은 장미의 스파이 : 이 카드가 필드에 존재할 때, 필드에 Epic 등급 이상의 “검은 장미” 카드가 존재할 경우 낙인 “정보 수집 - 검은 장미” 을 획득한다.
낙인 “정보 수집 - 검은 장미” : (효과 없이 플레이버 텍스트만 존재. 전령 효과 발동을 위해서 존재)",,,
71,붉은 장미의 후군장,하트,Ace,Epic,"붉은 장미의 후군장 : 현재 묘지에 존재하는 “붉은 장미” 카드 최대 5장을 묘지의 아래에서부터 덱으로 리바이브한다. 그 후, 덱을 셔플한다.",,,
72,붉은 장미의 공성병,하트,2,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
73,붉은 장미의 함선원,하트,3,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
74,붉은 장미의 갑판병,하트,4,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
75,붉은 장미의 함포 사수,하트,5,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
76,붉은 장미의 후위 기수,하트,6,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
77,붉은 장미의 병기 총감,하트,7,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
78,붉은 장미의 보급관,하트,8,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
79,붉은 장미의 의무병,하트,9,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
80,붉은 장미의 대장장이,하트,10,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
81,붉은 장미의 사제,하트,J,Rare,"붉은 장미의 사제 : 필드의 “붉은 장미” 카드의 수가 “검은 장미” 카드의 수 보다 많을 경우, 현재 족보의 점수 배율을 +2 한다.",,,
82,붉은 장미의 공주,하트,Q,Rare,"붉은 장미의 공주 : 다음 드로우 시, 덱에 “붉은 장미의 여왕”이 존재한다면, 그 카드와 짝수 랭크의 다이아몬드/하트 카드 2장을 우선 드로우한다.",,,
83,붉은 장미의 왕,하트,K,Legendary,"붉은 장미의 왕 : 현재 필드의 “붉은 장미” 카드의 수가 “검은 장미” 카드의 수 보다 많을 경우, 징표 “붉은 장미의 승리” 를 획득한다. “검은 장미의 왕” 카드를 현재 위치에 상관 없이 영면 상태로 만든다.
징표 - 붉은 장미의 승리 : 게임 종료시까지 모든 스페이드 카드는 다이아몬드로, 클럽 카드는 하트 카드로 취급한다.",,,
84,붉은 장미의 ♡Joker,하트,Joker,Epic,"검은 장미의 전령 : 이 카드가 필드에 존재할 때, 낙인 “정보 수집 - 붉은 장미”가 존재할 경우, 이를 소모하고 낙인 “정보 회수 - 붉은 장미” 를 획득한다.
낙인 “정보 회수 - 붉은 장미” : 게임 종료시까지 모든 “붉은 장미” 고유능력을 비활성화하고, “검은 장미단” 고유능력의 추가 점수를 8배로 한다.",,,
85,붉은 장미의 선봉장,다이아몬드,Ace,Legendary,"붉은 장미의 선봉장 : 다음 드로우 시, 덱에 남아있는 “붉은 장미” 카드 최대 5장을 덱의 위에서부터 우선 드로우한다.
”장미의 선봉장” 효과는 한번에 하나만 발동할 수 있다.",,,
86,붉은 장미의 장궁병,다이아몬드,2,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
87,붉은 장미의 석궁병,다이아몬드,3,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
88,붉은 장미의 화승총병,다이아몬드,4,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
89,붉은 장미의 도끼병,다이아몬드,5,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
90,붉은 장미의 선봉 기수,다이아몬드,6,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
91,붉은 장미의 야전 지휘관,다이아몬드,7,Rare,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
92,붉은 장미의 장창병,다이아몬드,8,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
93,붉은 장미의 중장병,다이아몬드,9,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
94,붉은 장미의 경기병,다이아몬드,10,Normal,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",,,
95,붉은 장미의 교섭자,다이아몬드,J,Rare,"붉은 장미의 교섭자 : 이 카드가 필드에 존재할 경우, 필드의 다른 “검은 장미” 카드는 “붉은 장미” 카드로 취급된다. 고유능력은 변경되지 않는다.",,,
96,붉은 장미의 여왕,다이아몬드,Q,Epic,"붉은 장미의 여왕 : 현재 필드의 가장 높은 족보가 다이아몬드/하트 카드만으로 이루어져 있을 경우, 그 족보 점수 배율에 보너스 +4를 부여한다.",,,
97,붉은 장미의 왕자,다이아몬드,K,Rare,"붉은 장미의 왕자 : 다음 드로우 시, 덱에 “붉은 장미의 왕”이 존재한다면, 그 카드와 홀수 랭크의 다이아몬드/하트 카드 1장을 우선 드로우한다.",,,
98,붉은 장미의 ◇Joker,다이아몬드,Joker,Epic,"검은 장미의 스파이 : 이 카드가 필드에 존재할 때, 필드에 Epic 등급 이상의 “붉은 장미” 카드가 존재할 경우 낙인 “정보 수집 - 붉은 장미” 을 획득한다.
낙인 “정보 수집 - 붉은 장미” : (효과 없이 플레이버 텍스트만 존재. 전령 효과 발동을 위해서 존재)",,,
99,검은 장미의 후군장,클럽,Ace,Epic,"검은 장미의 후군장 : 현재 묘지에 존재하는 “검은 장미” 카드 최대 5장을 묘지의 아래에서부터 덱으로 리바이브한다. 그 후, 덱을 셔플한다.",,,
100,검은 장미의 공성병,클럽,2,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
101,검은 장미의 후위 기수,클럽,3,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
102,검은 장미의 병기 총감,클럽,4,Rare,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",,,
103,검은 장미의 함선원,클럽,5,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
104,검은 장미의 갑판병,클럽,6,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
105,검은 장미의 함포 사수,클럽,7,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
106,검은 장미의 보급관,클럽,8,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
107,검은 장미의 의무병,클럽,9,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
108,검은 장미의 대장장이,클럽,10,Normal,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",,,
109,검은 장미의 사제,클럽,J,Rare,"검은 장미의 사제 : 필드의 “검은 장미” 카드의 수가 “붉은 장미” 카드의 수 보다 많을 경우, 현재 족보의 점수 배율을 +2 한다.",,,
110,검은 장미의 공주,클럽,Q,Rare,"검은 장미의 공주 : 다음 드로우 시, 덱에 “검은 장미의 여왕”이 존재한다면, 그 카드와 짝수 랭크의 스페이드/클럽 카드 2장을 우선 드로우한다.",,,
111,검은 장미의 왕,클럽,K,Legendary,"검은 장미의 왕 : 현재 필드의 “검은 장미” 카드의 수가 “붉은 장미” 카드의 수 보다 많을 경우, 징표 “검은 장미의 승리” 를 획득한다. “붉은 장미의 왕” 카드를 현재 위치에 상관 없이 영면 상태로 만든다.
징표 - 검은 장미의 승리 : 게임 종료시까지 모든 다이아몬드 카드는 스페이드로, 하트 카드는 클럽 카드로 취급한다.",,,
112,검은 장미의 ♧Joker,클럽,Joker,Epic,"붉은 장미의 전령 : 이 카드가 필드에 존재할 때, 낙인 “정보 수집 - 검은 장미”가 존재할 경우, 이를 소모하고 낙인 “정보 회수 - 검은 장미” 를 획득한다.
낙인 “정보 회수 - 검은 장미” : 게임 종료시까지 모든 “검은 장미” 고유능력을 비활성화하고, “붉은 장미단” 고유능력의 추가 점수를 8배로 한다.",,,
113,다이아몬드 필드의 에이스,다이아몬드,Ace,Legendary,"퍼펙트 게임 - 낙인 “철벽 내야”, “철벽 외야” 가 모두 존재하고, 필드에 “다이아몬드 필드의 포수” 가 존재할 때, 낙인 “퍼펙트 게임” 을 획득한다.
낙인 “퍼펙트 게임” : 모든 랭크 점수에 보너스 +99점을 부여한다.",,+99: 류현진 등번호 레퍼런스,Diamond Field Ace
114,다이아몬드 필드의 포수,다이아몬드,2,Rare,"영혼의 배터리 - ‘다이아몬드 필드의 에이스’ 카드가 묘지에 존재한다면, 이를 덱의 맨 아래로 되돌린다.",,,Diamond Field Catcher
115,다이아몬드 필드의 1루수,다이아몬드,3,Normal,내야수 - 이 카드는 “내야수” 특성을 갖는다.,,,Diamond Field First Baseman
116,다이아몬드 필드의 2루수,다이아몬드,4,Normal,내야수 - 이 카드는 “내야수” 특성을 갖는다.,,,Diamond Field Second Baseman
117,다이아몬드 필드의 3루수,다이아몬드,5,Normal,내야수 - 이 카드는 “내야수” 특성을 갖는다.,,,Diamond Field Third Baseman
118,다이아몬드 필드의 유격수,다이아몬드,6,Rare,"내야수 - 이 카드는 “내야수” 특성을 갖는다.
내야의 지휘자 - 필드의 “내야수” 특성을 갖는 카드의 수에 따라 아래의 효과를 얻는다.
1장 : 실책 - 이 카드가 처리하는 노트에 대한 판정은 항상 ‘Miss’ 로 취급한다.
2장 : 하이점프캐치 - 필드의 “내야수” 카드들이 처리하는 노트에서 ‘Good’ 이상의 판정이 나올 경우, 이를 모두 ‘Perfect’ 판정으로 취급한다.
3장 : 더블플레이 - 필드의 모든 “내야수” 카드들의 랭크 점수에 보너스 +73점을 부여한다.
4장 : 낙인 “철벽 내야” 를 획득한다.",,"+73: 08베이징 올림픽 끝내기 병살플레이를 만든 박진만(7), 고영민(3) 등번호 레퍼런스",Diamond Field Shortstop
119,다이아몬드 필드의 좌익수,다이아몬드,7,Normal,외야수 - 이 카드는 “외야수” 특성을 갖는다.,,,Diamond Field Left Fielder
120,다이아몬드 필드의 중견수,다이아몬드,8,Rare,"외야수 - 이 카드는 “외야수” 특성을 갖는다.
외야의 지휘자 - 필드의 “외야수” 특성을 갖는 카드의 수에 따라 아래의 효과를 얻는다.
1장 : 실책 - 이 카드가 처리하는 노트에 대한 판정은 항상 ‘Miss’ 로 취급한다.
2장 : 다이빙 캐치 - “외야수” 카드들이 처리하는 노트에서 ‘Miss’ 판정이 나올 경우, 이를 ‘Good’ 판정으로 취급한다.
3장 : 낙인 “철벽 외야” 를 획득한다.",,,Diamond Field Center Fielder
121,다이아몬드 필드의 우익수,다이아몬드,9,Normal,외야수 - 이 카드는 “외야수” 특성을 갖는다.,,,Diamond Field Right Fielder
122,다이아몬드 필드의 서포터즈,다이아몬드,10,Epic,10번 타자 - 이 카드를 제외한 모든 ‘다이아몬드 필드’ 카드의 랭크 점수를 2배로 한다.,,,Diamond Field Supporters
123,다이아몬드 필드의 감독,다이아몬드,J,Legendary,라인업 - 덱에 남아있는 “다이아몬드 필드” 카드들을 랭크 오름차순으로 덱의 맨 위로 이동시킨다.,,,Diamond Field Manager
124,다이아몬드 필드의 단장,다이아몬드,Q,Normal,"스토브리그 - 필드의 “내야수”, “외야수” 카드 수를 각각 +1 한다.",,,Diamond Field General Manager
125,다이아몬드 필드의 클로저,다이아몬드,K,Epic,"Born to K - 이 카드의 양 옆에 놓인 카드들의 랭크를 ‘K’로 취급한다.  이 카드가 필드에 존재할 때 ‘K’ 포카드 족보가 완성된다면, 그 족보 점수 배율에 보너스 +4.9를 부여한다.",,"BK 김병현 애리조나 시절 등번호 49번 레퍼런스
족보 점수 배율 보너스는 현재 포카드 배율이 x4.4 인데, 이를 x9.3 으로 만든다는 의미임.",Diamond Field Closer
126,다이아몬드 필드의 유틸리티,다이아몬드,Joker,Rare,"멀티포지션 - 이 카드는 “내야수”, “외야수” 특성을 모두 갖는다.",,,Diamond Field Utility Player
127,물 원소의 주인공,스페이드,Ace,Legendary,"주인공: 물 - ""내가 먼저야"" 효과가 비활성화 된 상태에서 해당 카드가 필드에 먼저 나타나면 활성화된다.
""내가 먼저야"" 효과를 활성화한다.",,,
128,원소 대적자의 ♤2,스페이드,2,Normal,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",,,
129,물 원소의 물 스승,스페이드,3,Rare,"스승: 물 - 주인공: 물 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",,,
130,원소 대적자의 ♤4,스페이드,4,Normal,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",,,
131,흙 원소의 물 스승,스페이드,5,Rare,"스승: 흙 - 주인공: 흙 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",,,
132,원소 대적자의 ♤6,스페이드,6,Normal,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",,,
133,불 원소의 물 스승,스페이드,7,Rare,"스승: 불 - 주인공: 불 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",,,
134,원소 대적자의 ♤8,스페이드,8,Normal,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",,,
135,공기 원소의 물 스승,스페이드,9,Rare,"스승: 공기 - 주인공: 공기 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",,,
136,원소 대적자의 ♤10,스페이드,10,Normal,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",,,
137,물 원소의 마스터1,스페이드,J,Rare,"마스터: 물 - 주인공: 물 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 물 원소 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율에 +1/+2/+4/+8/+20 증가한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 물"" 효과를 비활성화한다.",,,
138,물 원소의 마스터2,스페이드,Q,Rare,"마스터: 물 - 주인공: 물 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 물 원소 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율에 +1/+2/+4/+8/+20 증가한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 물"" 효과를 비활성화한다.",,,
139,물 원소의 마스터3,스페이드,K,Rare,"마스터: 물 - 주인공: 물 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 물 원소 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율에 +1/+2/+4/+8/+20 증가한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 물"" 효과를 비활성화한다.",,,
140,물 원소의 ???,스페이드,Joker,Epic,???: 물 - 주인공: 물 효과가 활성화되어 있으면 가지고 있는 물 원소 스택을 5로 설정한다.,,,
141,불 원소의 주인공,하트,Ace,Legendary,"주인공: 불 - ""내가 먼저야"" 효과가 비활성화 된 상태에서 해당 카드가 필드에 먼저 나타나면 활성화된다.
""내가 먼저야"" 효과를 활성화한다.",,,
142,원소 대적자의 ♡2,하트,2,Normal,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",,,
143,불 원소의 불 스승,하트,3,Rare,"스승: 불 - 주인공: 불 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",,,
144,원소 대적자의 ♡4,하트,4,Normal,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",,,
145,공기 원소의 불 스승,하트,5,Rare,"스승: 공기 - 주인공: 공기 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",,,
