이름,Note,고유능력,랭크,문양,수록 팩 ID,영문명,카드 ID,희귀도
검은 장미의 교섭자,,"검은 장미의 교섭자 : 이 카드가 필드에 존재할 경우, 필드의 다른 “붉은 장미” 카드는 “검은 장미” 카드로 취급된다. 고유능력은 변경되지 않는다.",J,스페이드,,,67,Rare
검은 장미의 여왕,,"검은 장미의 여왕 : 현재 필드의 가장 높은 족보가 스페이드/클럽 카드만으로 이루어져 있을 경우, 그 족보 점수 배율에 +4를 부여한다.",Q,스페이드,,,68,Epic
검은 장미의 왕자,,"검은 장미의 왕자 : 다음 드로우 시, 덱에 “검은 장미의 왕”이 존재한다면, 그 카드와 홀수 랭크의 스페이드/클럽 카드 1장을 우선 드로우한다.",K,스페이드,,,69,Rare
검은 장미의 ♤Joker,,"붉은 장미의 스파이 : 이 카드가 필드에 존재할 때, 필드에 Epic 등급 이상의 “검은 장미” 카드가 존재할 경우 낙인 “정보 수집 - 검은 장미” 을 획득한다.
낙인 “정보 수집 - 검은 장미” : (효과 없이 플레이버 텍스트만 존재. 전령 효과 발동을 위해서 존재)",Joker,스페이드,,,70,Epic
붉은 장미의 후군장,,"붉은 장미의 후군장 : 현재 묘지에 존재하는 “붉은 장미” 카드 최대 5장을 묘지의 아래에서부터 덱으로 리바이브한다. 그 후, 덱을 셔플한다.",Ace,하트,,,71,Epic
붉은 장미의 공성병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",2,하트,,,72,Normal
붉은 장미의 함선원,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",3,하트,,,73,Normal
붉은 장미의 갑판병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",4,하트,,,74,Normal
붉은 장미의 함포 사수,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",5,하트,,,75,Normal
붉은 장미의 후위 기수,,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",6,하트,,,76,Rare
붉은 장미의 병기 총감,,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",7,하트,,,77,Rare
붉은 장미의 보급관,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",8,하트,,,78,Normal
붉은 장미의 의무병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",9,하트,,,79,Normal
붉은 장미의 대장장이,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",10,하트,,,80,Normal
붉은 장미의 사제,,"붉은 장미의 사제 : 필드의 “붉은 장미” 카드의 수가 “검은 장미” 카드의 수 보다 많을 경우, 현재 족보의 점수 배율을 +2 한다.",J,하트,,,81,Rare
붉은 장미의 공주,,"붉은 장미의 공주 : 다음 드로우 시, 덱에 “붉은 장미의 여왕”이 존재한다면, 그 카드와 짝수 랭크의 다이아몬드/하트 카드 2장을 우선 드로우한다.",Q,하트,,,82,Rare
붉은 장미의 왕,,"붉은 장미의 왕 : 현재 필드의 “붉은 장미” 카드의 수가 “검은 장미” 카드의 수 보다 많을 경우, 징표 “붉은 장미의 승리” 를 획득한다. “검은 장미의 왕” 카드를 현재 위치에 상관 없이 영면 상태로 만든다.
징표 - 붉은 장미의 승리 : 게임 종료시까지 모든 스페이드 카드는 다이아몬드로, 클럽 카드는 하트 카드로 취급한다.",K,하트,,,83,Legendary
붉은 장미의 ♡Joker,,"검은 장미의 전령 : 이 카드가 필드에 존재할 때, 낙인 “정보 수집 - 붉은 장미”가 존재할 경우, 이를 소모하고 낙인 “정보 회수 - 붉은 장미” 를 획득한다.
낙인 “정보 회수 - 붉은 장미” : 게임 종료시까지 모든 “붉은 장미” 고유능력을 비활성화하고, “검은 장미단” 고유능력의 추가 점수를 8배로 한다.",Joker,하트,,,84,Epic
붉은 장미의 선봉장,,"붉은 장미의 선봉장 : 다음 드로우 시, 덱에 남아있는 “붉은 장미” 카드 최대 5장을 덱의 위에서부터 우선 드로우한다.
”장미의 선봉장” 효과는 한번에 하나만 발동할 수 있다.",Ace,다이아몬드,,,85,Legendary
붉은 장미의 ◇Joker,,"검은 장미의 스파이 : 이 카드가 필드에 존재할 때, 필드에 Epic 등급 이상의 “붉은 장미” 카드가 존재할 경우 낙인 “정보 수집 - 붉은 장미” 을 획득한다.
낙인 “정보 수집 - 붉은 장미” : (효과 없이 플레이버 텍스트만 존재. 전령 효과 발동을 위해서 존재)",Joker,다이아몬드,,,98,Epic
붉은 장미의 왕자,,"붉은 장미의 왕자 : 다음 드로우 시, 덱에 “붉은 장미의 왕”이 존재한다면, 그 카드와 홀수 랭크의 다이아몬드/하트 카드 1장을 우선 드로우한다.",K,다이아몬드,,,97,Rare
붉은 장미의 여왕,,"붉은 장미의 여왕 : 현재 필드의 가장 높은 족보가 다이아몬드/하트 카드만으로 이루어져 있을 경우, 그 족보 점수 배율에 보너스 +4를 부여한다.",Q,다이아몬드,,,96,Epic
붉은 장미의 교섭자,,"붉은 장미의 교섭자 : 이 카드가 필드에 존재할 경우, 필드의 다른 “검은 장미” 카드는 “붉은 장미” 카드로 취급된다. 고유능력은 변경되지 않는다.",J,다이아몬드,,,95,Rare
붉은 장미의 경기병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",10,다이아몬드,,,94,Normal
붉은 장미의 중장병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",9,다이아몬드,,,93,Normal
붉은 장미의 장창병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",8,다이아몬드,,,92,Normal
붉은 장미의 야전 지휘관,,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",7,다이아몬드,,,91,Rare
붉은 장미의 선봉 기수,,"붉은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “붉은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",6,다이아몬드,,,90,Rare
붉은 장미의 도끼병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",5,다이아몬드,,,89,Normal
붉은 장미의 화승총병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",4,다이아몬드,,,88,Normal
붉은 장미의 석궁병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",3,다이아몬드,,,87,Normal
붉은 장미의 장궁병,,"붉은 장미단 : 필드의 하트/다이아몬드 카드의 수 만큼, 추가 랭크 점수를 받는다. “붉은 장미” 카드는 두 장으로 계산된다.",2,다이아몬드,,,86,Normal
검은 장미의 후군장,,"검은 장미의 후군장 : 현재 묘지에 존재하는 “검은 장미” 카드 최대 5장을 묘지의 아래에서부터 덱으로 리바이브한다. 그 후, 덱을 셔플한다.",Ace,클럽,,,99,Epic
검은 장미의 공성병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",2,클럽,,,100,Normal
검은 장미의 후위 기수,,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",3,클럽,,,101,Rare
검은 장미의 병기 총감,,"검은 장미의 지휘관 : 이 카드가 필드에 존재하는 동안, 필드의 “검은 장미단” 고유능력의 추가 점수를 두 배로 만든다.",4,클럽,,,102,Rare
검은 장미의 함선원,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",5,클럽,,,103,Normal
검은 장미의 갑판병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",6,클럽,,,104,Normal
검은 장미의 함포 사수,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",7,클럽,,,105,Normal
검은 장미의 보급관,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",8,클럽,,,106,Normal
검은 장미의 의무병,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",9,클럽,,,107,Normal
검은 장미의 대장장이,,"검은 장미단 : 필드의 스페이드/클럽 카드의 수 만큼, 추가 랭크 점수를 받는다. “검은 장미” 카드는 두 장으로 계산된다.",10,클럽,,,108,Normal
검은 장미의 사제,,"검은 장미의 사제 : 필드의 “검은 장미” 카드의 수가 “붉은 장미” 카드의 수 보다 많을 경우, 현재 족보의 점수 배율을 +2 한다.",J,클럽,,,109,Rare
검은 장미의 공주,,"검은 장미의 공주 : 다음 드로우 시, 덱에 “검은 장미의 여왕”이 존재한다면, 그 카드와 짝수 랭크의 스페이드/클럽 카드 2장을 우선 드로우한다.",Q,클럽,,,110,Rare
검은 장미의 왕,,"검은 장미의 왕 : 현재 필드의 “검은 장미” 카드의 수가 “붉은 장미” 카드의 수 보다 많을 경우, 징표 “검은 장미의 승리” 를 획득한다. “붉은 장미의 왕” 카드를 현재 위치에 상관 없이 영면 상태로 만든다.
징표 - 검은 장미의 승리 : 게임 종료시까지 모든 다이아몬드 카드는 스페이드로, 하트 카드는 클럽 카드로 취급한다.",K,클럽,,,111,Legendary
검은 장미의 ♧Joker,,"붉은 장미의 전령 : 이 카드가 필드에 존재할 때, 낙인 “정보 수집 - 검은 장미”가 존재할 경우, 이를 소모하고 낙인 “정보 회수 - 검은 장미” 를 획득한다.
낙인 “정보 회수 - 검은 장미” : 게임 종료시까지 모든 “검은 장미” 고유능력을 비활성화하고, “붉은 장미단” 고유능력의 추가 점수를 8배로 한다.",Joker,클럽,,,112,Epic
NULL,디버깅 및 빈 슬롯 표기용 카드,,,,,,0,
Basic ♤Ace,기본 지급 카드. 고유능력 없음.,,Ace,스페이드,,,1,Basic
Basic ♤4,기본 지급 카드. 고유능력 없음.,,4,스페이드,,,4,Basic
Basic ♤2,기본 지급 카드. 고유능력 없음.,,2,스페이드,,,2,Basic
Basic ♤3,기본 지급 카드. 고유능력 없음.,,3,스페이드,,,3,Basic
Basic ♤6,기본 지급 카드. 고유능력 없음.,,6,스페이드,,,6,Basic
Basic ♤7,기본 지급 카드. 고유능력 없음.,,7,스페이드,,,7,Basic
Basic ♤8,기본 지급 카드. 고유능력 없음.,,8,스페이드,,,8,Basic
Basic ♤5,기본 지급 카드. 고유능력 없음.,,5,스페이드,,,5,Basic
Basic ♤9,기본 지급 카드. 고유능력 없음.,,9,스페이드,,,9,Basic
Basic ♤10,기본 지급 카드. 고유능력 없음.,,10,스페이드,,,10,Basic
Basic ♤J,기본 지급 카드. 고유능력 없음.,,J,스페이드,,,11,Basic
Basic ♤Q,기본 지급 카드. 고유능력 없음.,,Q,스페이드,,,12,Basic
Basic ◇J,기본 지급 카드. 고유능력 없음.,,J,다이아몬드,,,39,Basic
Basic ◇Q,기본 지급 카드. 고유능력 없음.,,Q,다이아몬드,,,40,Basic
Basic ♧Ace,기본 지급 카드. 고유능력 없음.,,Ace,클럽,,,43,Basic
Basic ◇Joker,기본 지급 카드. 고유능력 없음.,,Joker,다이아몬드,,,42,Basic
Basic ◇K,기본 지급 카드. 고유능력 없음.,,K,다이아몬드,,,41,Basic
Basic ◇10,기본 지급 카드. 고유능력 없음.,,10,다이아몬드,,,38,Basic
Basic ◇9,기본 지급 카드. 고유능력 없음.,,9,다이아몬드,,,37,Basic
Basic ◇8,기본 지급 카드. 고유능력 없음.,,8,다이아몬드,,,36,Basic
Basic ◇7,기본 지급 카드. 고유능력 없음.,,7,다이아몬드,,,35,Basic
Basic ◇6,기본 지급 카드. 고유능력 없음.,,6,다이아몬드,,,34,Basic
Basic ◇5,기본 지급 카드. 고유능력 없음.,,5,다이아몬드,,,33,Basic
Basic ◇4,기본 지급 카드. 고유능력 없음.,,4,다이아몬드,,,32,Basic
Basic ◇3,기본 지급 카드. 고유능력 없음.,,3,다이아몬드,,,31,Basic
Basic ◇2,기본 지급 카드. 고유능력 없음.,,2,다이아몬드,,,30,Basic
Basic ◇Ace,기본 지급 카드. 고유능력 없음.,,Ace,다이아몬드,,,29,Basic
Basic ♡Joker,기본 지급 카드. 고유능력 없음.,,Joker,하트,,,28,Basic
Basic ♡K,기본 지급 카드. 고유능력 없음.,,K,하트,,,27,Basic
Basic ♡Q,기본 지급 카드. 고유능력 없음.,,Q,하트,,,26,Basic
Basic ♡J,기본 지급 카드. 고유능력 없음.,,J,하트,,,25,Basic
Basic ♡10,기본 지급 카드. 고유능력 없음.,,10,하트,,,24,Basic
Basic ♡9,기본 지급 카드. 고유능력 없음.,,9,하트,,,23,Basic
Basic ♡8,기본 지급 카드. 고유능력 없음.,,8,하트,,,22,Basic
Basic ♡7,기본 지급 카드. 고유능력 없음.,,7,하트,,,21,Basic
Basic ♡6,기본 지급 카드. 고유능력 없음.,,6,하트,,,20,Basic
Basic ♡5,기본 지급 카드. 고유능력 없음.,,5,하트,,,19,Basic
Basic ♡4,기본 지급 카드. 고유능력 없음.,,4,하트,,,18,Basic
Basic ♡3,기본 지급 카드. 고유능력 없음.,,3,하트,,,17,Basic
Basic ♡2,기본 지급 카드. 고유능력 없음.,,2,하트,,,16,Basic
Basic ♡Ace,기본 지급 카드. 고유능력 없음.,,Ace,하트,,,15,Basic
Basic ♤Joker,기본 지급 카드. 고유능력 없음.,,Joker,스페이드,,,14,Basic
Basic ♤K,기본 지급 카드. 고유능력 없음.,,K,스페이드,,,13,Basic
Basic ♧K,기본 지급 카드. 고유능력 없음.,,K,클럽,,,55,Basic
Basic ♧Q,기본 지급 카드. 고유능력 없음.,,Q,클럽,,,54,Basic
Basic ♧J,기본 지급 카드. 고유능력 없음.,,J,클럽,,,53,Basic
Basic ♧10,기본 지급 카드. 고유능력 없음.,,10,클럽,,,52,Basic
Basic ♧9,기본 지급 카드. 고유능력 없음.,,9,클럽,,,51,Basic
Basic ♧8,기본 지급 카드. 고유능력 없음.,,8,클럽,,,50,Basic
Basic ♧7,기본 지급 카드. 고유능력 없음.,,7,클럽,,,49,Basic
Basic ♧6,기본 지급 카드. 고유능력 없음.,,6,클럽,,,48,Basic
Basic ♧5,기본 지급 카드. 고유능력 없음.,,5,클럽,,,47,Basic
Basic ♧4,기본 지급 카드. 고유능력 없음.,,4,클럽,,,46,Basic
Basic ♧3,기본 지급 카드. 고유능력 없음.,,3,클럽,,,45,Basic
Basic ♧2,기본 지급 카드. 고유능력 없음.,,2,클럽,,,44,Basic
Basic ♧Joker,기본 지급 카드. 고유능력 없음.,,Joker,클럽,,,56,Basic
다이아몬드 필드의 감독,,라인업 - 덱에 남아있는 “다이아몬드 필드” 카드들을 랭크 오름차순으로 덱의 맨 위로 이동시킨다.,J,다이아몬드,,Diamond Field Manager,123,Legendary
다이아몬드 필드의 서포터즈,,10번 타자 - 이 카드를 제외한 모든 ‘다이아몬드 필드’ 카드의 랭크 점수를 2배로 한다.,10,다이아몬드,,Diamond Field Supporters,122,Epic
다이아몬드 필드의 우익수,,외야수 - 이 카드는 “외야수” 특성을 갖는다.,9,다이아몬드,,Diamond Field Right Fielder,121,Normal
다이아몬드 필드의 중견수,,"외야수 - 이 카드는 “외야수” 특성을 갖는다.
외야의 지휘자 - 필드의 “외야수” 특성을 갖는 카드의 수에 따라 아래의 효과를 얻는다.
1장 : 실책 - 이 카드가 처리하는 노트에 대한 판정은 항상 ‘Miss’ 로 취급한다.
2장 : 다이빙 캐치 - “외야수” 카드들이 처리하는 노트에서 ‘Miss’ 판정이 나올 경우, 이를 ‘Good’ 판정으로 취급한다.
3장 : 낙인 “철벽 외야” 를 획득한다.",8,다이아몬드,,Diamond Field Center Fielder,120,Rare
다이아몬드 필드의 좌익수,,외야수 - 이 카드는 “외야수” 특성을 갖는다.,7,다이아몬드,,Diamond Field Left Fielder,119,Normal
다이아몬드 필드의 유격수,"+73: 08베이징 올림픽 끝내기 병살플레이를 만든 박진만(7), 고영민(3) 등번호 레퍼런스","내야수 - 이 카드는 “내야수” 특성을 갖는다.
내야의 지휘자 - 필드의 “내야수” 특성을 갖는 카드의 수에 따라 아래의 효과를 얻는다.
1장 : 실책 - 이 카드가 처리하는 노트에 대한 판정은 항상 ‘Miss’ 로 취급한다.
2장 : 하이점프캐치 - 필드의 “내야수” 카드들이 처리하는 노트에서 ‘Good’ 이상의 판정이 나올 경우, 이를 모두 ‘Perfect’ 판정으로 취급한다.
3장 : 더블플레이 - 필드의 모든 “내야수” 카드들의 랭크 점수에 보너스 +73점을 부여한다.
4장 : 낙인 “철벽 내야” 를 획득한다.",6,다이아몬드,,Diamond Field Shortstop,118,Rare
다이아몬드 필드의 3루수,,내야수 - 이 카드는 “내야수” 특성을 갖는다.,5,다이아몬드,,Diamond Field Third Baseman,117,Normal
다이아몬드 필드의 2루수,,내야수 - 이 카드는 “내야수” 특성을 갖는다.,4,다이아몬드,,Diamond Field Second Baseman,116,Normal
다이아몬드 필드의 1루수,,내야수 - 이 카드는 “내야수” 특성을 갖는다.,3,다이아몬드,,Diamond Field First Baseman,115,Normal
다이아몬드 필드의 포수,,"영혼의 배터리 - ‘다이아몬드 필드의 에이스’ 카드가 묘지에 존재한다면, 이를 덱의 맨 아래로 되돌린다.",2,다이아몬드,,Diamond Field Catcher,114,Rare
다이아몬드 필드의 에이스,+99: 류현진 등번호 레퍼런스,"퍼펙트 게임 - 낙인 “철벽 내야”, “철벽 외야” 가 모두 존재하고, 필드에 “다이아몬드 필드의 포수” 가 존재할 때, 낙인 “퍼펙트 게임” 을 획득한다.
낙인 “퍼펙트 게임” : 모든 랭크 점수에 보너스 +99점을 부여한다.",Ace,다이아몬드,,Diamond Field Ace,113,Legendary
다이아몬드 필드의 단장,,"스토브리그 - 필드의 “내야수”, “외야수” 카드 수를 각각 +1 한다.",Q,다이아몬드,,Diamond Field General Manager,124,Normal
다이아몬드 필드의 클로저,"BK 김병현 애리조나 시절 등번호 49번 레퍼런스
족보 점수 배율 보너스는 현재 포카드 배율이 x4.4 인데, 이를 x9.3 으로 만든다는 의미임.","Born to K - 이 카드의 양 옆에 놓인 카드들의 랭크를 ‘K’로 취급한다.  이 카드가 필드에 존재할 때 ‘K’ 포카드 족보가 완성된다면, 그 족보 점수 배율에 보너스 +4.9를 부여한다.",K,다이아몬드,,Diamond Field Closer,125,Epic
다이아몬드 필드의 유틸리티,,"멀티포지션 - 이 카드는 “내야수”, “외야수” 특성을 모두 갖는다.",Joker,다이아몬드,,Diamond Field Utility Player,126,Rare
,,,,,,,183,
물 원소의 주인공,,"주인공: 물 - ""내가 먼저야"" 효과가 비활성화 된 상태에서 해당 카드가 필드에 먼저 나타나면 활성화된다.
""내가 먼저야"" 효과를 활성화한다.",Ace,스페이드,,,127,Legendary
원소 대적자의 ♤2,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",2,스페이드,,,128,Normal
물 원소의 물 스승,,"스승: 물 - 주인공: 물 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",3,스페이드,,,129,Rare
원소 대적자의 ♤4,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",4,스페이드,,,130,Normal
흙 원소의 물 스승,,"스승: 흙 - 주인공: 흙 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",5,스페이드,,,131,Rare
원소 대적자의 ♤6,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",6,스페이드,,,132,Normal
불 원소의 물 스승,,"스승: 불 - 주인공: 불 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",7,스페이드,,,133,Rare
원소 대적자의 ♤8,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",8,스페이드,,,134,Normal
공기 원소의 물 스승,,"스승: 공기 - 주인공: 공기 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",9,스페이드,,,135,Rare
원소 대적자의 ♤10,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",10,스페이드,,,136,Normal
물 원소의 마스터1,,"마스터: 물 - 주인공: 물 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 물 원소 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율에 +1/+2/+4/+8/+20 증가한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 물"" 효과를 비활성화한다.",J,스페이드,,,137,Rare
물 원소의 마스터2,,"마스터: 물 - 주인공: 물 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 물 원소 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율에 +1/+2/+4/+8/+20 증가한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 물"" 효과를 비활성화한다.",Q,스페이드,,,138,Rare
물 원소의 마스터3,,"마스터: 물 - 주인공: 물 효과가 활성화된 상태에서 해당 카드가 필드에 나타나면 물 원소 스택을 초기화시키면서 다음 3턴 동안 필드에 나타나는 족보의 배율에 +1/+2/+4/+8/+20 증가한다.
""내가 먼저야"", ""이미 가르침을 받았구나"", ""주인공: 물"" 효과를 비활성화한다.",K,스페이드,,,139,Rare
물 원소의 ???,,???: 물 - 주인공: 물 효과가 활성화되어 있으면 가지고 있는 물 원소 스택을 5로 설정한다.,Joker,스페이드,,,140,Epic
불 원소의 주인공,,"주인공: 불 - ""내가 먼저야"" 효과가 비활성화 된 상태에서 해당 카드가 필드에 먼저 나타나면 활성화된다.
""내가 먼저야"" 효과를 활성화한다.",Ace,하트,,,141,Legendary
원소 대적자의 ♡2,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",2,하트,,,142,Normal
불 원소의 불 스승,,"스승: 불 - 주인공: 불 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",3,하트,,,143,Rare
원소 대적자의 ♡4,,"빌런 - 필드에 빌런 카드가 3장 이상 있으면 최우선으로 발동, 필드의 카드/원소 상관없이 지금까지 모인 스택들을 모두 초기화 및 타 효과를 무효한다.
""내가 먼저야"", ""이미 가르침을 받았구나"" 효과를 비활성화한다.",4,하트,,,144,Normal
공기 원소의 불 스승,,"스승: 공기 - 주인공: 공기 효과가 활성화되어 있고, 해당 카드의 ""이미 가르침을 받았구나"" 효과가 비활성화 되어 있으면 스택을 1 추가한다.
해당 카드의 ""이미 가르침을 받았구나"" 효과를 활성화한다.",5,하트,,,145,Rare
